,Chengyu,Definition
750,休戚相关,"Song Chen Liang's ""Introduction to King Xie Anbi"": ""Everything is stitched together in general, the orders are unchanged, and there are many people who are appointed."""
751,浮光掠影,"Ming Feng Menglong's ""Jing Shi Tong Yan"" Volume 11: ""The old woman looked at the small officials, her eyes fixed, and she exchanged tears without realizing it."""
752,坐以待毙,"""Mencius: Under the Heart"": ""The Master's establishment of divisions is also a matter of not chasing those who come, and not rejecting those who come."""
753,坐吃山空,"""Song History, Daoxue Biography 1, Cheng Hao Biography"": ""Disease scholars are tired of being humble and approaching, and they are too ambitious."
754,一心一意,"""Mencius Gongsun Chou Shang"": ""To take people as good is to be good to others. Therefore, the gentleman is most likely to be good to others."""
755,删繁就简,"Qing Quanzu Wang's ""Transferring Ning Shou Wei's Post"": ""If there is a way to stir up the turbulence and promote the Qing Dynasty, then take advantage of the prison to rise, and its prisoners are born and dismissed, which is a great delight."""
756,肝胆相照,"Qing-Wu Jianren's ""The Strange Situation I Witnessed in Twenty Years"" Chapter 48: ""When Nangtai saw what he said was such an understatement, he was even more anxious."""
757,抛头露面,"The sixth chapter of ""The Travels of the Old and Can"" by Liu E of Qing Dynasty: ""I have heard the theory many times, and I admire it very much. Today's theory is even more overwhelming."""
758,乌合之众,"Ming Feng Menglong's ""Awakening the World Hengyan"" volume three: ""Over time, I have a big bag of money."""
759,声泪俱下,"The first fold of the fourth book of Yuan Wang Shifu's ""The Story of the West Chamber"": ""Half push and half, both shocked and in love, sandalwood mouth and fragrant cheeks."""
760,发人深省,"Qing Cao Xueqin's ""Dream of Red Mansions"" Chapter 120: ""My uncle is a few years older and has never been married. Besides, the characters are one-of-a-kind."""
761,引狼入室,"""Northern History, Zhou Jixia, Emperor Gaozu Wudi"": ""Returning to Huihui and angering neighbors, betraying faith and forgetting righteousness."""
762,貌合神离,"Qing Wu Jianren's ""The Strange Situation I Witnessed in Twenty Years"", Chapter 15: ""I'm really inexplicable. I got such a student since then, and I don't even know it."""
763,损人利己,"Yuan, Anonymous's ""Qiyingbu"" 4th fold: ""If we didn't help Liu with the hoes and chase the foxes and dogs, how could Wuliang appear to be kings with tattoos!"""
764,舍近求远,"""Book of Songs, Taiga, Daming"": ""The first set of King Wen, a match made in heaven."""
765,大发雷霆,"Ming Ling Puchu's ""First Engraving and Paining the Table Surprise"" Volume 27: ""It is a good thing to break the mirror and reunite, but the misfortune of Mrs. Wang, the loss of her body as a concubine, and the fact that she has never rooted for the traitor, revenge and hatred is still a fly in the ointment. ."""
766,东拼西凑,"""Book Dayu Mo"": ""Don't listen to nonsense."""
767,跋山涉水,"""Historical Records: Biographies of Zhongni's Disciples"": ""Judging people by their appearances will lead to lost son Yu."""
768,畅所欲言,"""Records of the Grand Historian"": ""The Qin people were greatly disappointed."""
769,口口声声,"""Han Feizi: Shuo Lin Shang"": ""Guan Zhong and Xi Peng followed Duke Huan to cut the orphan bamboo, returning from spring to winter, confused and lost. Guan Zhong said: 'The wisdom of the old horse can be used.' They let the old horse and followed. Got it."""
770,并驾齐驱,"Qing Li Ruzhen's ""The Mirror of Flowers"" Chapter 6: ""Let the subordinates show their beauty at the wrong time and flatter the world before the world, causing the timing to be reversed, which is appalling."""
771,倾家荡产,"""Han Shu: The Biography of Sima Xiangru"": ""Wenjun ran to Xiangru at night, Xiangru and Xiangru galloped back to Chengdu, and the family and disciples stood on four walls."""
772,例行公事,"Han Meicheng's ""Shangshu Advice to the King of Wu"": ""If you change what you want, it is easy to turn back your palms, and you will be at ease in Mount Tai."""
773,全军覆没,"""The Biography of Yu Yan in the Later Han Dynasty"": ""The nature is simple and simple, and it is informal."""
774,心猿意马,"Han Yu's ""Journey to Study"" in the Tang Dynasty: ""Ziyun is similar to each other, with the same work and different songs."""
775,回头是岸,"""Historical Records: The Biography of Lu Zhonglian and Zou Yang"": ""I feel it in my heart, I am in line with my actions, I am close to the glue and paint, Kundi can't leave, how can I be confused by the public."" ""Nineteen Ancient Poems: Meng Dong's Cold Qi"": "" Putting glue into paint, who can separate from this."""
776,风流人物,"""Huainanzi: Pan Lun Xun"": ""Hundreds of rivers come from different sources, but they all belong to the sea."""
777,津津有味,"""Xijing Miscellaneous Notes"" Volume 2: ""Kuang Heng, the character Zhigui, studied diligently without candles, and his neighbors had candles but failed to catch them. Heng was through the wall to draw the light, and the book reflected the light and read it."""
778,出神入化,"""Han Feizi Eight Commentaries"": ""According to merit and rewarding, Cheng Neng and instructing."""
779,枉费心机,"Han Kong Rong's ""Recommend Mi Hengbiao"": ""Seeing the good is like a shock, and the evil is like hatred."""
780,一技之长,"""Historical Records: Biography of Han Anguo"": ""The arrow is too strong to penetrate Lu."" ""Han Book of Han Anguo Biography"": ""And I heard that, when the wind is weakened, the feathers cannot be raised; at the end of the strong crossbow, the force cannot penetrate Lu Zhan."""
781,洁身自好,"Song Luo Mi's ""Lu Shi Qian Ji"" Volume 4: ""In the past, Emperor Wu of the Han Dynasty was very big and happy."" ""New Book of Tang, Taizong Ji Zan"": ""It is because of his love and restoration of the Buddha. Greatly rejoicing in meritorious deeds, diligent soldiers far away, this is what Zhongcai Yongzhu often does."""
782,未老先衰,"Han Bangu's ""Han Wu Story"": ""If you get Gillian to be a wife, you can store it as a golden house."""
783,群策群力,"""Historical Records Jizheng Biography"": ""First Zhai Gong was a court officer, and guests were invited to Tianmen; and if it was abolished, the six outer regions could be set up."""
784,忍气吞声,"""The Biography of Jia Yi in the Book of Han"": ""It is regarded as killing people, like wormwood."""
785,光明正大,"""Records of the Grand Historian: Biography of Ning Xing"": ""Unexpectedly, I didn't name a piece of money, and I sent it to others to die."" Han Wang Chong's ""Lunheng, Bone Phase"": ""There is a crime of stealing and casting money, and Emperor Jing's test is passed to death, and it is sent to death, but it is not named. A penny."""
786,安营扎寨,"""Han Book of Zhao Chongguo Biography"": ""A hundred hearings are better than seeing them once. It is difficult for soldiers to be far away. The minister is willing to rush to Jincheng."
787,束之高阁,"""Book of the Later Han Dynasty: Ding Hong's Biography"": ""If the government is to be responsible and Du Jian to prevent Meng, then the evil monster will be eliminated, and the harm will be eliminated."" in the future.”"
788,无所不至,"""Liang Shu, Yuandi Ji"": ""The situation will rise, and the agitation will lead to the fall of Songhua."""
789,寸草春晖,"""Zhuangzi, Robber Zhi"": ""Yao and Shun have the world, and their descendants have no place to put a cone."" ""Historical Records Liuhou Family"": ""After the destruction of the six kingdoms, there is no place for a cone."""
790,不自量力,"""Book of Jin: Du Xi's Biography"": ""The prince who moved tiredly moved the prince in the middle of the house. He was bright and straight, loyal and fierce, repeatedly admonished the prince, and his words were sincere."
791,弄巧成拙,"""The Analects of Confucius, Township Party"": ""DPRK, talk to the next doctor, and talk like a man."""
792,出乎意外,"""Historical Records: King of Yue Goujian Family"": ""When the birds are exhausted, the good bows are hidden; the cunning rabbits die, and the lackeys cook them."""
793,突如其来,"""Mandarin: Zhou Yuxia"": ""All hearts form a city, all mouths speak gold."""
794,本来面目,"""Zuo Zhuan: Duke Huan Twelve Years"": ""If you are defeated, you will return it for the alliance under the city."""
795,井井有条,"""Guliang Biography: The Thirty-two Years of Zhuanggong"": ""It is as deep as a secret, and a secret is hidden. If you see something, it is not as deep."""
796,有口皆碑,"""Zuo Zhuan: The First Year of Zhao"": ""Small countries are innocent, and they rely on their crimes; they will rely on the peace and stability of large countries, and Wu is hiding evil intentions to plan them."""
797,浑然一体,"""Zuo Zhuan: The Eighteenth Year of Chenggong"": ""Zhou Zi had a brother but no wisdom, and could not distinguish Shumai, so he could not stand."""
798,雪上加霜,"Song Shi Weibai's ""Continued Chuan Deng Lu"", volume 31: ""Hanging the sheep's head and selling dog meat, I know what evidence it has."""
799,流连忘返,"""Zuo Zhuan, Xi Gong Four Years"": ""The king is in the North Sea, and the few are in the South China Sea, but the wind, horses and cattle are not related."""
800,不以为然,"""Plain Questions: The Great Theory of Four Qi Regulations"": ""When a disease has been cured, then take medicine, and when disorder is established, then treat it. It is like thirsty and piercing a well, fighting and casting a cone, it is not too late!"""
801,不见经传,"""Zuo Zhuan: Chenggong Seven Years"": ""Yu will make you stop running and die."""
802,食不果腹,"""Zuo Zhuan: Xuangong Twelve Years"": ""His assistant to Xiangu is stubborn and inhumane, and he is not willing to use his life."""
803,可有可无,"""Lv's Spring and Autumn Period: Righteous Rewards"": ""If you exhaust the pond and fish, won't you get it? And there will be no fish next year."""
804,刻不容缓,"""Zuo Zhuan, Xianggong Eleven Years"": ""Be prepared for danger in times of peace, think well, and be prepared for danger."""
805,轰动一时,"""Zuo Zhuan: Yingong Three Years"": ""Pride and extravagance and obscene disappearance are self-evil."""
806,自然而然,"""Zuo Zhuan: Yin Gong Four Years"": ""Righteousness destroys relatives, which is what it means."""
807,一衣带水,"""Historical Records Zhou Benji"": ""Chu has those who support the foundation, and those who are good at shooting, go to the willow leaves and shoot them at a hundred steps, and hit them with a hundred shots."""
808,泥沙俱下,"""Zhuangzi ,  Health Master"": ""There is room for the festival, but there is no thickness for the blade. With the lack of thickness into the room, there will be room for recovery and recovery."""
809,山崩地裂,"""Zhuangzi, Xiaoyaoyou"": ""Peng's disciple is in Nanming, the water hits three thousand miles, and the one who swings up is ninety thousand miles."""
810,无人问津,"""Mencius, Gaozi Shang"": ""Although there are things that are easy to live in the world, they are exposed on one day and cold on ten days, but there is no one that can live."""
811,不义之财,"""Warring States Policy Wei Ce IV"": ""It is still as far as Chu and the north."""
812,混为一谈,"""Zhuangzi: Autumn Water"": ""Isn't the son who has not heard of his husband Shouling's remaining son's learning and practice in Handan? He has not attained national power, and he has lost his old practice."
813,海市蜃楼,"""Zhuangzi, Roofing Zhi"": ""The robber Zhi is furious when he hears it, his eyes are like stars, and his crown is on his hair."" ""Records of the Grand Historian: The Biography of Lian Po Lin Xiangru"": ""Xianruyin held a jade but stood against a pillar, and his angry hair rushed to the crown. ."""
814,百感交集,"""Warring States Policy Zhao Ce II"": ""Husbands break people and break people, and ministers and ministers are people. How can we say it on the same day?"""
815,人困马乏,"""Mencius, King Hui of Liang"": ""If you want to do what you want, if you want to do what you want, it is like asking for fish because of wood."""
