,Chengyu,Appearances,Topic,Definition,Explanation,Frequency,Pinyin,English Definition,English Explanation,Example
531,不近人情,3,mainland China politics,《后汉书·张堪传》：“桑无附枝，麦穗两歧，张君为政，乐不可支。”,管宁：人名。席：坐卧用的编织物。比喻朋友间的情谊一刀两断，中止交往。,2,bù jìn rén qíng,"""The Biography of Zhang Kan in the Later Han Dynasty"": ""The mulberry is not attached to the branch, and the wheat ears are divided.","Guan Ning: The name of the person. Seat: A woven fabric used for sitting and lying down. Metaphorically, the friendship between friends is cut off in two, suspending the relationship.",被誉为燃灯者的邹碧华，迎难而上、不计毁誉地推动司法改革，有人骂他不近人情，他却相信“背着黑锅前行，是改革者必须经历的修行”。
532,不足为奇,3,International news,《晋书·谢安传》,比喻战争激烈，血流成河。,2,bù zú wéi qí,"""Book of Jin: Biography of Xie An""",The metaphor is that the war was fierce and blood was spilled.,近期，美国在全球污蔑中国通信设备存在安全风险，其理由是华为、海康威视、大疆等中国企业可能在设备中植入后门，帮助中国政府监视全球，但美国从来没有拿出实质性的证据。美国之所以如此担忧，借用中国的古话就是“以己度人”。因为恰恰是美国自己，一直以来在利用信息通信技术领域优势，监视全球通信，其“以小人之心度君子之腹”，担心其他国家破坏其一家独大的局面、也像他一样实施全球监听，就不足为奇了。
533,空前绝后,1,None,晋·陶潜《五柳先生传》：“不慕利，好读书，不求甚解，每有会意，欣然忘食。”,比喻坏事和好事互相依存。,1,kōng qián jué hòu,"Jin Tao Qian's ""The Biography of Mr. Wu Liu"": ""I don't want to be interested, I like to read, I don't ask for deep understanding, and whenever I get a grasp of it, I happily forget to eat.""",It is a metaphor for the interdependence of bad and good things.,None
534,神魂颠倒,1,mainland China politics,《三国志·蜀书·马良传》：“马谡言过其实，不可大用。”,穷猿：被猎人紧追的猿猴。比喻在穷困中急于找一个栖身的地方。,1,shén hún diān dǎo,"""Three Kingdoms, Shu Shu, Ma Liang's Biography"": ""Ma Su's exaggeration is too exaggerated and cannot be used.""",Poor ape: an ape closely pursued by a hunter. It is a metaphor for being in poverty and desperate to find a place to stay.,以“更大的东西”为定盘星，方能在奔赴与生命的约定中不断释放生命强光，绝不会因浮躁而急功近利，绝不会因物欲膨胀而神魂颠倒，绝不会因小成即满而懈怠堕落。
535,同舟共济,378,mainland China politics,唐·白居易《李白墓》诗：“可怜荒冢穷泉骨，曾有惊天动地文。”,拿非常脆的东西去碰石头。比喻事情一定失败。,5,tóng zhōu gòng jì,"Tang Bai Juyi's poem ""Li Bai's Tomb"": ""Poor barren tombs and poor spring bones, there were earth-shattering texts.""",To take something very brittle and touch it to a stone. The metaphor is that things are bound to fail.,当前防控新冠肺炎疫情已进入最吃劲、最关键的阶段，险恶严峻的抗疫形势和不获全胜决不收兵的必胜信念，决定了共产党员在关键时刻必须冲锋在前。防控疫情战斗打响以来，广大党员充分发挥先锋模范作用，不畏艰险、冲锋在前，哪里有群众，哪里就有党旗高高飘扬；哪里有困难，哪里就有共产党员的身影；哪里有艰险，哪里就有鲜红的党徽闪耀。在斗争中彰显英雄本色的广大党员干部无愧为本次抗疫斗争的主力军、战斗队。但毋庸讳言，与绝大多数冲锋在前、奋发有为的党员干部相比，也有极少数党员干部在严峻的疫情面前表现失态、行为失范，他们中畏缩不前者有之，敷衍塞责者有之，作风漂浮、不谙疫情、推诿扯皮者有之，本位主义严重、不服从统一指挥和调度者亦有之。对这些党员干部，不仅要进行严肃的批评教育，造成后果的，还必须坚决问责。 疫情就是命令。当前疫情防控进入重要阶段，各级党组织和广大党员干部肩负着神圣责任。让我们在以习近平同志为核心的党中央坚强领导下，全面贯彻“坚定信心、同舟共济、科学防治、精准施策”的要求，在复杂严峻的特殊的抗疫战役中，充分发挥基层党组织的战斗堡垒作用和党员的先锋模范作用。
536,谈何容易,4,International news,《管子·形势篇》：“与不可，强不能，告不知，谓之劳而无功。”,陵：山陵；谷：山谷。丘陵变山谷，山谷变丘陵。比喻世事巨变迁,2,tán hé róng yì,"""Guanzi, Situation Chapter"": ""It is impossible to be with you, you can't force it, and you don't know it. It's called labor without merit.""",hills: hills; valleys: valleys. The hills become valleys and the valleys become hills. A metaphor for the great change of world affairs,中国文化强调为政者自律、君子慎独。然而对于拥有450多万个基层党组织、8900多万名党员的中国共产党来说，要想在庞大的组织内部实现有效的自我监督，谈何容易。党的十八大以来，从首次实现一届任期巡视全覆盖、不定期“回头看”，到向中央一级党和国家机关全面派驻纪检组，再到审议通过《中国共产党党内监督条例》，监督之网越织越密，制度的笼子越扎越牢，真正实现了党内监督不留死角、没有空白，营造出全面从严治党的良好氛围。
537,走投无路,3,International news,《诗·小雅·都人士》：“彼都人士，狐裘黄黄，其容不改，出言成章。”,代：古代北方的郡名；代马：北方产的良马。比喻人心眷恋故土，不愿老死他乡,2,zǒu tóu wú lù,"""Poetry, Xiaoya, People from the Capital"": ""People from the capital city, the fox fur is yellow and yellow, their content is not changed, and their words are perfect.""",Dai: the name of the county in the north in ancient times; Dai horse: the good horse produced in the north. A metaphor for people who are fond of their homeland and do not want to die in their hometown,蓬佩奥的歇斯底里，其实更多是因为走投无路。近期发生的国会山遭暴力事件，对美国领导人政治生命可谓致命一击。
538,称王称霸,1,culture,清·李汝珍《镜花缘》第五十二回：“但他恃著自己学问，目空一切，每每把人不放在眼内。”,指好邻居的难得可贵。,1,chēng wáng chēng bà,"Qing Li Ruzhen's ""The Mirror of Flowers"" Chapter 52: ""But he relied on his own knowledge, he was arrogant, and he often ignored people.""",Refers to the rare and valuable nature of good neighbors.,在5000多年的文明发展中，中华民族一直追求和传承着和平、和睦、和谐的理念。中国人民崇尚“己所不欲，勿施于人”，血脉中没有称王称霸、穷兵黩武的基因。
539,麻木不仁,4,Hong Kong - Macau politics,《宋书·庾炳之传》：“今之事迹，异口同音，便是彰著，政未测得物之数耳。”,事理-世故,2,má mù bù rén,"""Book of Songs: The Biography of Yu Bing"": ""The deeds of today, with the same accent, are written, and the government has not measured the number of things.""",Reasoning and worldliness,但是，一些地方、一些领域、一些党员和干部身上飘浮虚华的顽疾尚未根除。“不忘初心、牢记使命”主题教育检视出一些党员、干部在作风上还存在不少问题，有的对群众诉求麻木不仁，为民服务不上心不尽力，甚至侵害群众利益；有的只会喊口号、刷标语、打广告，不愿做不会做群众工作，同群众隔着一堵“心墙”；有的抓工作固守套路不出思路，回避矛盾不敢担当，遇事要么层层向上请示，要么层层向下签责任状，就是不去抓落实。
540,眼花缭乱,10,sports,《后汉书·马援传》：“开心见诚，无所隐伏。”,文书劳累身体。形容公事繁忙。,3,yǎn huā liáo luàn,"""The Book of the Later Han Dynasty: The Biography of Ma Yuan"": ""Happiness sees sincerity, and there is nothing to hide.""",The paperwork strains the body. Describe the busy official business.,作为迄今为止世界上第一个以进口为主题的国家级展会，进博会在国际贸易发展史上具有开创性意义。令人眼花缭乱的高科技装备，消费者中意的优质农产品、食品和先进医疗器械，金融服务、咨询服务等“看不见的商品”……172个国家、地区和国际组织参会，3600多家企业参展，奏响共享机遇、共同发展的时代乐章，书写进一步扩大开放的中国故事。
541,装模作样,1,None,明·冯梦龙《古今小说·蒋兴哥重会珍珠衫》：“大凡人不做指望，到也不在心上；一做指望，便痴心妄想，时刻难过。”,劣马惦着的只是马棚里的饲料。比喻无能的人只贪图安逸，无远大志向。,1,zhuāng mú zuò yàng,"Ming Feng Menglong's ""Ancient and Modern Novel: Jiang Xingge's Reunion with Pearl Shirts"": ""Most ordinary people don't expect, and they don't care about it; when they expect, they will be wishful thinking and always feel sad.""",The inferior horse is only thinking about the feed in the stable. The metaphor is that an incompetent person is only greedy for comfort and has no great ambition.,None
542,唯唯诺诺,1,mainland China politics,元·无名氏《鸳鸯被》第四折：“这洛阳城刘员外，他是个有钱贼，只要你还了时方才死心塌地。”,原指各种杂戏同时演出。后形容事物杂乱。也比喻变化很多（含贬义）。,1,wéi wéi nuò nuò,"Yuan Anonymous's ""Mandarin Duck Quilt"" 4th fold: ""This Liu Yuanwai from Luoyang City, he is a rich thief, and he will give up only when you pay it back.""","Originally, it refers to the simultaneous performance of various kinds of miscellaneous plays. Later, it describes the chaos of things. It also refers to a lot of changes (with derogatory meaning).",”面对民族危难，有人退而求和、唯唯诺诺；而更多的人，则在枪声中惊醒，在白山黑水间奋起抵抗，用血肉之躯筑起保卫东北、保卫中华的钢铁长城。
543,高人一等,11,sports,明·凌濛初《二刻拍案惊奇·赵县君乔送黄柑》：“其涂脂抹粉，惯卖风情，挑逗那富家郎君。”,写事-情况-⑺文化艺术-声乐舞蹈,3,gāo rén yī děng,"Ming Ling Puchu's ""Surprise at the Second Moment: Jun Qiao of Zhao County Sends Yellow Oranges"": ""It's smeared and powdered, and it is used to sell the style, teasing the rich man.""",Writing matters - Situation - (7) Culture and art - Vocal dance,这种以人种来确定文明、以文明来确定国家冲突的逻辑，令国际社会惊诧。两相对比下，谁在推动人类文明发展进程有目共睹。亚洲文明对话大会的圆满成功，世界各个角落文明交流的生动故事，都在用事实雄辩地证明，有分歧不可怕，但认为自己的人种和文明高人一等，执意改造甚至取代其他文明有百害而无一利。
