,Chengyu,Explanation
861,牢不可破,Writing about people - Address - (3) identity occupation - occupation
862,不可磨灭,The inlay box and the gold hairpin are said to be the token of love between Emperor Tang Xuanzong and Yang Guifei. Generally refers to the token of love between lovers
863,空洞无物,"Writing about people - Address - (4) Family, friends and all relations - Direct line"
864,无微不至,"In ancient times, it was believed that the moon passed by the star Minis when there was more wind and Bi when there was more rain. The original metaphor is that the good and bad of the people are different. Later, it was used to praise the government for understanding the people's feelings."
865,千疮百孔,The metaphor is good at describing landscape scenery
866,永垂不朽,Refers to high-mindedness and uncommon behavior.
867,闻风而动,"Writing things-opposites-(3) good and beautiful, ugly and evil-good and beautiful"
868,融为一体,The elegant stories passed down from previous generations to future generations.
869,低声下气,A reference to the legendary god of agriculture and mulberry
870,一手遮天,"Wide sleeves and big belts are the ancient Confucian dress, referring to the Confucian"
871,明知故犯,Writing about people - address -_- (1) general term
872,弹无虚发,Refers to people in general and outstanding talents in the country
873,落井下石,Refers to a small piece of land and sky.
874,阳春白雪,"Yellow bell: ancient music in China is divided into twelve rhythms, yin and yang each six rhythms, yellow bell for the first Yang rhythm; Great Lü: Yang rhythm ranked fourth. Describe the music or the rhetoric is grand, solemn and sublime"
875,手忙脚乱,"Village: village; Vegetables: vegetables. The wine brewed in the countryside and the vegetables grown in the fields. Describe the meager wine and food, living in poverty"
876,惊心动魄,"Bijou: The heavenly, celestial world. Yellow Springs: underground. Heavenly and underground. Generally refers to all corners of the universe."
877,救死扶伤,Writing objects-objects-_-contemplating objects
878,有勇无谋,"Originally, it refers to the fact that many people were cut off and the price of shoes was so low that the price was high. Later, it describes that the punishment is both heavy and indiscriminate. It also refers to the large number of people who committed crimes."
879,丰衣足食,It is a metaphor for the misinterpretation of the original meaning.
880,随心所欲,Writing - state of affairs - (1) act - misconduct
881,食不甘味,Refers to the worries caused by the desire for wine and sex
882,素昧平生,Tear open the mouth and cut off the tongue. Refers to ordering people to stop talking
883,忐忑不安,Refers to defiling one's virtue to avoid disaster
884,专心致志,"Referring to the villain in power, close to the emperor, greedy as the hardness of gold, vicious as the fierceness of a tiger"
885,一知半解,It is used to describe the prosperity of a family. It is also used to wish someone the completion of a new house.
886,劳民伤财,The gold stone in the south and the bamboo arrow in the east. A metaphor for excellent talents.
887,岌岌可危,Writing about people - virtue and talent - (13) talent - talent
888,半壁江山,"Others are starving or falling into water just as they are starving or falling into water themselves. In olden times, it describes the person in power who cares about the people's hardship. It also refers to a person who sympathizes with the suffering of others and takes it as his duty to relieve the suffering of others."
889,宾至如归,Writing about people - mind -_-(28)Others
890,山清水秀,It is a metaphor for open-mindedness and smoothness of speech
891,雄才大略,"North Star: North Star; Arch: surround. The North Star hangs high and unmoving, surrounded by stars. A metaphor for someone who is embraced by all people"
892,金玉良言,Writing-Interaction-_-(4) Activities
893,过犹不及,"Multiply: take advantage of, because of; potential: situation. It means that one should take advantage of the opportunity and the situation to do something"
894,趾高气扬,Writing about people - experiences - (3) situations - good situations
895,患难与共,"The moon is the same as the past and the present, but the metabolism of personnel is unpredictable."
896,周而复始,"In the old days, the carriage and horses used for funerals were later used as a phrase for funerals."
897,横冲直撞,A general reference to ethical philosophy and political theory.
898,要言不烦,"Dead ashes: the cold ashes left after burning. The body is like dead wood, the heart is like dead ashes. The metaphor is extremely negative and pessimistic."
899,直言不讳,Writing about people - mind -_-(23) discouragement
900,触目惊心,The metaphor is that fame and fortune bind people like reins and chains.
901,无家可归,The crow turns white and the horse's head grows horns. A metaphor for something that cannot be achieved
902,一劳永逸,The poetic style of Jia Island and Meng Jiao in the Tang Dynasty is mostly clear and poignant
903,吐故纳新,"Forgive: forgive; Dispel: dispel. Forgive with affection, dismiss with reason. It refers to treating people generously and peacefully and not taking things into account."
904,令人发指,"It refers to the ability to have the virtue of a sage on the one hand, and to execute the Way of the King on the other. This is the political thought of Taoism."
905,立竿见影,Square foot and round head. Refers to humans.
906,地利人和,Describe the splendid spring scenery.
907,喜气洋洋,"Curved eyebrows, square and wide forehead. Describe the beauty of a woman's appearance"
908,琳琅满目,The form and content of the article are perfect. It also describes the beauty of a person's appearance.
909,瓜熟蒂落,Writing - Situation - (7) Culture and Art - Masterpiece
910,从头至尾,"Describe the occurrence and development of things, as violent and rapid as the storm and thunder."
911,无理取闹,Some people think it is a wild duck and others think it is a swallow. It is a metaphor for misjudgment due to subjective one-sidedness and unclear understanding of things.
912,不惑之年,It is a metaphor for something that is cumbersome and useless.
913,先声夺人,Writing about events-situations-(1) the way of the world-unrest
914,自由自在,"A dog made of clay, a chicken made of clay. It is a metaphor for something with no practical use but a form."
915,上行下效,"Rat and bird: a metaphor for a rapist. The original meaning is that the lawsuit was caused by the bullying of the rapist. Later, it is a metaphor for a lawsuit."
916,循序渐进,Writing about people - Virtue and talent - (17) Fierce and vicious
917,独树一帜,It is a metaphor for something extremely small and worthless.
918,气急败坏,Tuan: White flowers on thatch. The white flowers on the luxuriant thatch in autumn and the fine mesh of the fish net. A metaphor for the harshness of punishment.
919,川流不息,"It means that the learning has not been done from the root, but only a little bit of skin."
920,欣欣向荣,Writing - Interaction -_- (5) Speech
921,趁火打劫,Refers to the frivolous and vulgar social atmosphere
922,先入为主,The calligraphy is described as elegant and round.
923,两败俱伤,The candle is used to calculate the number. The metaphor is accurate.
924,短兵相接,"Sutra: refers to the classical works of Confucianism; History: refers to the history books. Reciting scriptures and reading history day and night. Describe diligent study, study dedicated to learning"
